Project Number,Capital Plan,Agency Name,Plan Revision,Budget Submission Date,Project Description,Change Narrative,Plan Year - Year 1 Allocation,Plan Year - Year 2 Allocation,Plan Year - Year 3 Allocation,Plan Year - Year 4 Allocation,Plan Year - Year 5 Allocation,Out Years Allocation,Total Allocation
D501TN85,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,Suspended Span Cable Rewrap                                                                                                                                                                                                                                    ,,975,14650,,,,,15625
D501TN85,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,Structural steel repairs at the suspended spans and tower spans of the Throgs Neck Bridge.                                                                                                                                                                     ,"As a result of Best Value Review of the 2010-2014 Capital Program, the second phase of construction for structural steel repairs was accelerated to the 2005-2009 Program and $51 million was added to the project budget. Additional work identified, requiring extension of contract. Substantial completion declared for December 2013",595,12336,,,,21662,34593
D502BW89,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,Elevated and on Grade Approach Deck Replacement - Whitestone Bridge                                                                                                                                                                                            ,,,,,133080,,,133080
D502BW89,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,Elevated and on Grade Approach Deck Replacement - Whitestone Bridge                                                                                                                                                                                            ,,,,,133080,,,133080
D502BW89,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,Elevated and on Grade Approach Deck Replacement - Whitestone Bridge                                                                                                                                                                                            ,Budget was revised based on costs of construction and support requirements during design,,,13427,143287,,,156714
D502BW89,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,Elevated and on Grade Approach Deck Replacement - Whitestone Bridge                                                                                                                                                                                            ,"Scope modified to reflect new codes and to enhance safety and constructability, including temporary substation protection, additional lighting, and installation of a sprinkler system and HVAC at the lower garage.",,,14124,186618,,,200742
D502BW89,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,Elevated and on Grade Approach Deck Replacement - Whitestone Bridge                                                                                                                                                                                            ,,,,14124,186618,,,200742
D502BW89,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,Elevated and on grade approach deck replacement at the Whitestone Bridge.                                                                                                                                                                                      ,Budget revised to reflect estimate at completion.,,,14368,183946,,,198314
D502HH80,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,Lower Level Deck Replacement - Henry Hudson Bridge                                                                                                                                                                                                             ,test,4231,46620,,,,,50851
D502HH80,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,Lower Level Deck Replacement - Henry Hudson Bridge                                                                                                                                                                                                             ,"Revised to include complete structural replacement instead of rehabilitation of the North Approach to the Henry Hudson Bridge, additional steel repairs at the Manhattan and Bronx towers.",1164,57608,,,,,58772
D502HH80,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,Lower Level Deck Replacement - Henry Hudson Bridge                                                                                                                                                                                                             ,Budget was revised based on costs of construction and support requirements at time of award,1164,85419,,,,,86583
D502HH80,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,Lower Level Deck Replacement - Henry Hudson Bridge                                                                                                                                                                                                             ,,1517,85419,,,,,86936
D502HH80,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,Lower Level Deck Replacement - Henry Hudson Bridge                                                                                                                                                                                                             ,,1517,85419,,,,,86936
D502HH80,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,Lower level deck replacement at the Henry Hudson Bridge.                                                                                                                                                                                                       ,"Reflects additional work required, including additional quantities of structural steel needed for additional stiffener replacement on the west fascia. Budget revised to reflect estimate at completion.",1660,81785,,,,,83445
D502TB64,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,Replacement of Decks at Randall's Island and Ward's Island Viaduct and new Ramps - Robert F Kennedy                                                                                                                                                            ,,276369,,,,,,276369
D502TB64,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,Replacement of Decks at Randall's Island and Ward's Island Viaduct and new Ramps - Robert F Kennedy                                                                                                                                                            ,,269156,315,,,,,269471
D502TB64,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,Replacement of Decks at Randall's Island and Ward's Island Viaduct and new Ramps - Robert F Kennedy                                                                                                                                                            ,Revised scope due to the deletion of the Office of Mental Health Ramp from the construction contract.,252215,9256,,,,,261471
D502TB64,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,Replacement of Decks at Randall's Island and Ward's Island Viaduct and new Ramps - Robert F Kennedy                                                                                                                                                            ,,254085,405,1440,,,,255930
D502TB64,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,Replacement of Decks at Randall's Island and Ward's Island Viaduct and new Ramps - Robert F Kennedy                                                                                                                                                            ,,254085,405,1440,,,,255930
D502TB64,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,Replacement of decks at Randall's Island and Ward's Island Viaduct and new ramps at Robert F. Kennedy Bridge.                                                                                                                                                  ,"The plan year 2005 allocation was reduced to reflect latest deck replacement estimates, while the 2009 and out years allocations were increased to reflect new repairs accelerated from the 2010-2014 Capital Program.",234792,450,1489,,4362,4697,245790
D502TN50,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,"Replacement of Concrete Deck and Rehabilitation Of the Abutment and Retaining Walls, Queens Approach                                                                                                                                                           ",,1447,957,15274,,,,17678
D502TN50,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,"Replacement of Concrete Deck and Rehabilitation Of the Abutment and Retaining Walls, Queens Approach                                                                                                                                                           ",Scope change to add catwalk work formerly part of another project (TN-47).,2491,1057,16061,,,,19609
D502TN50,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,"Replacement of Concrete Deck and Rehabilitation Of the Abutment and Retaining Walls, Queens Approach                                                                                                                                                           ","Revised scope due to change in construction plan from selective deck replacement to complete replacement, resulting from field investigations that revealed an increased level of deterioration of the existing deck.",3027,2500,,48000,,,53527
D502TN50,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,"Replacement of Concrete Deck and Rehabilitation Of the Abutment and Retaining Walls, Queens Approach                                                                                                                                                           ",Budget was revised based on costs of construction and support requirements at time of award,3313,1057,,71523,,,75893
D502TN50,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,"Replacement of Concrete Deck and Rehabilitation Of the Abutment and Retaining Walls, Queens Approach                                                                                                                                                           ",,3313,1057,,71523,,,75893
D502TN50,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,Replacement of concrete deck and rehabilitation of the abutment and retaining walls of the Queens Approach to Throgs Neck Bridge.                                                                                                                              ,Work progress slowed due to extreme weather conditions from December through March. The current budget reflects the estimate at completion. Construction task closed June 2015,3821,1407,,64074,,335,69637
D502VN80,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge                                                                                                                                                                                           ",,9509,,,5209,51540,,66258
D502VN80,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge                                                                                                                                                                                           ",,11710,,,5209,49339,,66258
D502VN80,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge                                                                                                                                                                                           ",Scope change includes an orthotropic deck prototype construction,11760,,1300,54299,,,67359
D502VN80,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge                                                                                                                                                                                           ",,13177,,,50850,,,64027
D502VN80,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge                                                                                                                                                                                           ",,13177,,,50850,,,64027
D502VN80,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge.                                                                                                                                                                                          ","Budget reflects estimate at completion, revised based on costs of construction and support requirements at time of award for utility relocation. Contractor performed conduit/cable installation during day hours using single lane closures instead of evening full lane closures. Budget also includes a Peer Review.",14216,,1081,34323,,2361,51982
D601AW98,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Feasibility Study for tunnel improvements and modernization of the Brooklyn-Battery and Queens Midtown Tunnels                                                                                                                                                 ,Additional time required to incorporate impacts due to Sandy.,634,1808,,,,,2442
D601BB28,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitation of tunnel walls Roadway drainage and fire line repair at Brooklyn-Battery Tunnel                                                                                                                                                                ,Project substantially completed March 2018.,,,3884,,60228,1400,65512
D601BW07,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Tower and Pier Fender Protection System - Bronx-Whitestone Bridge                                                                                                                                                                                              ,,,6,,3582,,,3588
D601BW14,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous structural rehabilitation: steel and concrete repairs - Bronx Whitestone Bridge                                                                                                                                                                  ,,,,14,2819,100,,2933
D601BW84,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Monitoring, inspection, and testing of the Bronx-Whitestone Bridge's main cable and cable wires                                                                                                                                                                ",,,,8,2649,159,,2816
D601BW97,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Concrete repairs at the Bronx anchorage of the Bronx-Whitestone Bridge                                                                                                                                                                                         ,,,6,7159,,,391,7556
D601CB09,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitation of the Concrete Substructure and Underwater Work - Cross-Bay Bridge                                                                                                                                                                             ,,17002,,,,,,17002
D601HH07,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Structural Rehabilitation - Phase I - Henry Hudson Bridge                                                                                                                                                                                                      ,,,279,7879,,,,8158
D601HH81,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Design for the Replacement of the Lower Level South Approach Deck at Henry Hudson Bridge                                                                                                                                                                       ,,,50,,,,,50
D601HH89,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Skewbacks retrofit - Henry Hudson Bridge                                                                                                                                                                                                                       ,Dates revised to reflect Program update. Project scope revised to a Design-Build project. A Design-Build RFP issued to shortlisted proposers in 2016.,,,,5351,,,5351
D601MP06,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Substructure and underwater scour protection - Marine Parkway Bridge                                                                                                                                                                                           ,Schedule adjusted to reflect Program update.,3487,,,17666,1553,,22706
D601MP16,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous Steel Repairs - Marine Parkway Bridge                                                                                                                                                                                                            ,Schedule adjusted to reflect Program update.,,,805,1707,,,2512
D601MPXB,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,This project will construct miscellaneous structural steel repairs at various locations on the Marine Parkway Bridge.                                                                                                                                          ,Schedule adjusted to reflect Program update.,,,,,,31303,31303
D601QM18,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Structural Rehabilitation of the Entrance and Exit Plazas - Queens Midtown Tunnel                                                                                                                                                                              ,Completion date advanced for ORT deadline.   Substantial Completion taken in July 2017.,,3284,,665,2530,10007,16487
D601QM40,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Rehabilitation of Tunnel Walls, Ceiling Repair and Leak Control - Queens Midtown Tunnel                                                                                                                                                                        ",Schedule adjusted to reflect Program update.,,,897,5432,6682,49528,62539
D601RK19,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Seismic and wind study for Robert F Kennedy Bridge                                                                                                                                                                                                             ,Dates revised to reflect recent program update.,,,5205,,,,5205
D601RK23,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous steel and concrete rehabilitation - Manhattan approach ramps of the Robert F Kennedy Bridge                                                                                                                                                      ,Schedule adjusted to reflect Program update.,,2532,9490,7892,80817,991,101722
D601RK76,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous structural repair - Robert F Kennedy Bridge                                                                                                                                                                                                      ,,,,10,,5938,224,6171
D601TN52,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous structural rehabilitation - Throgs Neck Bridge                                                                                                                                                                                                   ,Schedule adjusted to reflect Program update.,,4921,193,3616,9240,9306,27277
D601TN60,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Design only of an anchorage dehumidification system - Throgs Neck Bridge                                                                                                                                                                                       ,Schedule adjusted to reflect Program update.,,,19,2161,,,2179
D601VN34,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Verrazano-Narrows Bridge main cable testing                                                                                                                                                                                                                    ,Dates revised to reflect recent program update.,,,,49,3902,,3951
D601VN35,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Steel repairs, concrete rehabilitation and repair/rehabilitation of drainage systems - Verrazano-Narrows Bridge                                                                                                                                                ",Substantial completion achieved in May 2017.,,26,527,6296,,,6849
D602BB54,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Replacement of Brooklyn Plaza structural slab - Brooklyn-Battery Tunnel                                                                                                                                                                                        ,Schedule adjusted to reflect Program update.,,41,2269,,15500,30,17840
D602BW89,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Deck Replacement - the Queens Elevated and on-grade approach of the Bronx-Whitestone Bridge                                                                                                                                                                    ,Project closed out in Q2 2019,,126989,,1469,,,128458
D602HH10,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Replacement of the Upper Level sidewalk, curb stringers, and roadway lighting - Henry Hudson Bridge                                                                                                                                                            ",,39158,,,,,,39158
D602HH88,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Replacement of the Upper and Lower Level Toll Plaza and Southbound Approach - Henry Hudson Bridge                                                                                                                                                              ,Substantial completion achieved in December 2016.,,,9897,,28420,10076,48393
D602MP21,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitation of the Rockaway Point Boulevard and Jacob Riis Park pedestrian bridges                                                                                                                                                                          ,Substantial completion achieved in June 2016.,,434,215,,9601,171,10420
D602RK65,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Replacement of the Bronx and Manhattan Toll Plaza deck area, utility relocation, personnel and facilities relocation - Robert F Kennedy Bridge                                                                                                                 ",Interim milestones met. Subprojects are ongoing.,4648,27317,19748,16387,246898,2665,317664
D602RK73,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Demolition and reconstruction of the Manhattan to Queens ramp of the Robert F Kennedy Bridge                                                                                                                                                                   ,Schedule adjusted to reflect Program update.,,697,53127,,,,53824
D602RK74,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Replacement of the surface layer on the orthotropic deck sections of the Robert F Kennedy Bridge                                                                                                                                                               ,,557,9781,,,,,10338
D602RK75,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Interim Deck Repairs - Manhattan Toll Plaza Deck - Robert F Kennedy Bridge                                                                                                                                                                                     ,Budget increase reflects civil scope added under ORT environment.,,2682,,11294,19948,18998,52922
D602RKXD,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitate Ramp connecting Bruckner Expressway to RFK Bridge                                                                                                                                                                                                 ,This project is being managed by NYS DOT. Increase reflects bid results.,,,,,,25433,25433
D602TN49,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Phase A of the suspended span deck replacement - Throgs Neck Bridge - Utility relocation and prototype construction                                                                                                                                            ,,,1699,10081,2048,493,7171,21492
D602TN82,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Phase B of the rehabilitation of the Orthotropic Deck - Throgs Neck Bridge                                                                                                                                                                                     ,,,16487,,,,,16487
D602VN03,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Toll Plaza improvements at eastbound and westbound ramps of Verrazano Narrows Bridge Eastbound mainline rehabilitation at Verrazano-Narrows Bridge                                                                                                             ,,,62406,,,,1335,63741
D602VN80,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Replacement of the upper level suspended span deck - Verrazano-Narrows Bridge                                                                                                                                                                                  ,Substantial completion achieved in May 2017.,,15,260698,83585,,630,344927
D602VN84,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Widening of the Belt Parkway ramps and rehabilitation of the upper level approaches of Verrazano-Narrows Bridge. Design only.                                                                                                                                  ,The complexity of the project and extensive community outreach required delayed the schedule.,,,10,7677,,,7687
D603AW35,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Installation of weather information Systems at the four major bridges                                                                                                                                                                                          ,Delayed during procurement due to a need to re-bid because of a lack of competition,,47,,,,3463,3511
D603AW48,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Second Generation E-ZPass in-lane subsystem evaluation and modernization                                                                                                                                                                                       ,Decrease reflects interim savings. Delay was in the initial project phase due to alternative scopes and operating budget impacts.,7768,827,,4185,675,656,14111
D603AW50,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Agency-Wide Wireless Communications                                                                                                                                                                                                                            ,"Only critical work is being addressed and will be funded in the operating budget, to address the same needs in a more cost effective manner.",,,,,,,
D603AW52,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Advanced Traffic Detection / Management System                                                                                                                                                                                                                 ,,,11,,,,,11
D603AW54,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Regional Integration of real-time information                                                                                                                                                                                                                  ,Project re-timed to the 2015-2019 Capital Plan in order to coordinate with other Regional Agencies' plans.,,,,,,,
D603AW57,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Advanced Traffic Management Systems                                                                                                                                                                                                                            ,,,15,,,,,15
D603AW62,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Smart Card Development                                                                                                                                                                                                                                         ,This work was completed as part of the Second Generation E-ZPass In-Lane Subsystem Evaluation and Modernization project.,,,,,,,
D603HH85,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Replacement of the Upper Level Toll Plaza Deck - Henry Hudson Bridge                                                                                                                                                                                           ,Scope of work for this project is being combined with other Henry Hudson Bridge projects.,,,,,,,
D604AW80,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Advanced Traveler Information Systems                                                                                                                                                                                                                          ,The B&T Agency-wide traveler information systems implementation plan was pushed back to coordinate with the implementation of cashless tolling. Implementation will be phased.,,47,,2927,42,7263,10279
D604BB28,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Installation of   Fire Standpipe in the HCT/BBT  Brooklyn Plaza                                                                                                                                                                                                ,,,,,,,50,50
D604BB45,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Replacement of the electrical switchgear and equipment at Brooklyn-Battery Tunnel                                                                                                                                                                              ,,49881,97,,,,,49978
D604BW15,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Installation of New Necklace Lighting System and Acoustic Monitoring System - Bronx-Whitestone Bridge                                                                                                                                                          ,Schedule adjusted to reflect Program update.,,659,,10702,,,11361
D604MP03,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitation of the Programmable Logic Controller and electrical and mechanical systems of the Marine Parkway Bridge Lift Span                                                                                                                               ,Completion date revised to account for Con Edison power feeder failure.,,3813,,50,1030,5272,10164
D604MPXA,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitation of the Programmable Logic Controller and electrical and mechanical systems of the Marine Parkway Bridge Lift Span                                                                                                                               ,Schedule adjusted to reflect Program update.,,,,,,44370,44370
D604QM30,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Tunnel Ventilation Building Electrical Upgrade Replace electrical switchgear and fan motor control Equipment - Queens Midtown Tunnel                                                                                                                           ,Schedule adjusted to coordinate with Sandy related work at facility.  Completion date revised to accommodate Con Edison requirements. Additional time required for testing and additional field installation verification/testing. Additional factory acceptance testing on the motors revealed a flaw that will be corrected at no cost to the Authority.,,36,53488,459,,2197,56179
D604QM81,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Design for the replacement of the utilities within the Queens Midtown Tunnel Facility Supervisory Control System                                                                                                                                               ,Dates revised to reflect recent program update. Scope revised to include development of an RFP for Design-Build  contract.,,,4,524,1484,,2011
D604VN87,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Rehabilitation of Electrical Substation #1 at the Verrazano-Narrows Bridge                                                                                                                                                                                     ,Substantial Completion taken in June 2016.,,11,795,14705,1124,,16635
D605AW12,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Agency-wide hazardous materials abatement                                                                                                                                                                                                                      ,Schedule adjusted to reflect Program update.,1585,,66,315,313,67,2345
D605BB21,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Service Building rehabilitation at Brooklyn-Battery Tunnel                                                                                                                                                                                                     ,Schedule adjusted to reflect Program update.,,28,863,,9039,,9930
D605BB43,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous repairs at the Battery Parking Garage                                                                                                                                                                                                            ,Schedule adjusted to reflect Program update.,,,501,,71,,572
D606AW15,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,MTA Independent Engineering services                                                                                                                                                                                                                           ,,,171,160,395,558,1262,2545
D606AW18,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,All Agency protective liability insurance                                                                                                                                                                                                                      ,"Schedule adjusted to reflect Program update. This is a reserve task, no construction.",425,1664,1204,690,1163,1406,6553
D606AW21,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Program Administration                                                                                                                                                                                                                                         ,,3115,2528,2813,2481,2299,,13235
D606AW22,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous                                                                                                                                                                                                                                                  ,Decrease reflects interim savings. Duration of project extended due in part to delay in the (later) 2015-2019 capital program.,74,510,132,483,1830,1319,4349
D606AW28,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Scope Development                                                                                                                                                                                                                                              ,Updated schedule reflects additional scoping that began post-2014.,2602,1181,618,409,1391,3581,9781
D606AW85,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Traffic Enforcement Support                                                                                                                                                                                                                                    ,Decrease reflects interim savings.,,,252,,,,252
D606AW94,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Small Business Mentoring Program                                                                                                                                                                                                                               ,Budget allocation change reflects funding transfer to support MTA Small Business Mentoring Program Administration.,,,,,,,
D607AW95,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Miscellaneous agency wide painting                                                                                                                                                                                                                             ,Budget and schedule changes reflect current structural painting needs.,,,,,,,
D607HH10,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,Paint curb stringers at Henry Hudson Bridge                                                                                                                                                                                                                    ,,756,,,,,,756
D607HH85,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Paint - Steel Members, Upper Level Plaza Deck - Henry Hudson Bridge                                                                                                                                                                                            ",Scope of work for this project is being combined with other Henry Hudson bridge projects.,,,,,,,
D607MP21,Capital Plan 2010 - 2014,Bridges and Tunnels,999999,Current,"Paint Rockaway Point Boulevard Bridge, Jacob Riis Pedestrian Bridge, and Marine Parkway Bridge                                                                                                                                                                 ",This project has been superseded by a project (D602MP21) that will replace the relevant structures.,,,,,,,
