Reference Number,Agency,Agency Description,Type of Contract,Duration of Contract,Contract Description,Project Description,Solicitation Month,Solicitation Year,Dollar Range,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14
A46026,NYCT,New York City Transit,Construction,23,Station Renewal: 111 Street / Flushing,"The project consists of the renewal of 111th Street Station, Flushing Line in the borough of Queens. Work will include:",OCT,2018,$10M - $50M,"Repair or replacement of street stairs, mezzanine to platform stairs, mezzanine floors, doors and windows, interior and exterior walls, and canopies as required.",Painting.,,,,,,,,,,,,
C48714,NYCT,New York City Transit,Construction,,Vents Between Stations:  E 161 St - E 192 St / Concourse,The purpose of this project is to bring the vents and drip plans along the Concourse Line in The Bronx to a state of good repair. Location: From East 161 St to East 192 St of the Concourse Line. Work will include:,AUG,2018,$5M - $10M,Replacement of vent gratings and their steel framing.,Repairs of steel or concrete support beams.,Repairs of concrete drip pans.,Replacement of drains and drain pipes.,Concrete work such as partial replacement of sidewalk slabs adjacent to vent bays and repair of cracked and spalled concrete.,,,,,,,,,
VN-32/VN-49,B&T,Bridges and Tunnels,Constr Mgmt,36,"Construction Management: Verrazano-Narrows Bridge Steel Repairs, Fencing, and Painting of Suspended Span Upper and Lower Level Steel","Under this Construction Management contract, the consultant will provide construction administration work for Construction Contract VN-32/VN-49: Steel Repairs, Fencing & Painting of the Upper and Lower Level Steel of the Suspended Span at the Verrazano-Narrows Bridge.",JUN,2018,$5M - $10M,,,,,,,,,,,,,,
P36705,NYCT,New York City Transit,Construction,31,Central Substation Renewal Including New Rectifier / 6AV,,May,2019,$10M - $50M,,,,,,,,,,,,,,
VN-84,B&T,Bridges and Tunnels,Constr Mgmt,50,Construction Management: Reconstruction of the Verrazano-Narrows Bridge Approach Ramps,"Under this Construction Management contract, the consultant will provide construction administration work for the reconstruction of a portion of the Verrazano-Narrows Bridge upper level approach ramps.",NOV,2018,$10M - $50M,,,,,,,,,,,,,,
ST21-3073,NYCT,New York City Transit,Construction,,Subway Interior Stairs: 5 Locations / 8th Ave [SBMP],,APR,2019,$1M - $5M,,,,,,,,,,,,,,
E30465,NYCT,New York City Transit,Construction,45,Replace 2 Escalators / Pelham Parkway/ White Plains Road,,May,2019,$5M - $10M,,,,,,,,,,,,,,
N01082,MTAPD,MTA Police,Constr,36,PUBLIC RADIO PHASE 3,Provides for a dedicated fiber-optic network to interconnect MRRS sites to Regional Distributed Control Points (DCP) and Central Cores.,JUN,2018,$5M - $10M,,,,,,,,,,,,,,
C-40261,MTA BUS,MTA Bus,Constr,17,HVAC-Spring Creek Depot**,"The purpose of this project is to replace the over-aged HVAC units and associated equipment that are beyond their useful life at Spring Creek Depot. The existing HVAC equipment is inadequate and no longer complies with the New York State Energy code. The new HVAC will be designed and constructed with the latest energy efficiency and maintenance features, and will be in compliance with the current New York State Energy code. The heating system that serves the chassis wash areas will be modified, and a BMS system to monitor HVAC system will be installed. This project is FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",JUN,2018,$1M - $5M,,,,,,,,,,,,,,
RK-23C,B&T,Bridges and Tunnels,Constr,30,Design-Build: Construction of New Harlem River Drive Ramp,"Under this Design-Build contract, the design-builder will construct a new connector ramp from the Harlem River Lift Span to the north bound Harlem River Drive. Seven of the necessary footings have been constructed under a separate NYCDOT contract and shall be utilized for the new ramp.",NOV,2018,OVER $50M,,,,,,,,,,,,,,
E34025,NYCT,New York City Transit,Construction,33,Replace 2 Hydraulic Elevators: GC-42 Street / Lexington,,DEC,2018,$5M - $10M,,,,,,,,,,,,,,
P36706,NYCT,New York City Transit,Construction,36,Reconstruct 6 Negative Manholes - Central Substation / 6AV,,May,2019,$500K - $1M,,,,,,,,,,,,,,
M10637,MNR,Metro North Railroad,Constr,16,Construction - 6th Ave - Mount Vernon NY,This contract will provide for the superstructure replacement and substructure rehabilitation of the 6th Avenue  bridge over Metro-North Railroad in the City of Mount Vernon. The construction contract includes the replacement of the existing timber deck vehicular bridge with a new redundant multi-stringer bridge supporting a concrete deck.,AUG,2018,$5M - $10M,Track level relocation of Metro-North Railroad signal side power lines.,Demolition of the bridge superstructure and top of abutments.,Rehabilitation of existing abutments and installation of rock anchors.,Installation of the new bridge superstructure.,,,,,,,,,,
RK-66,B&T,Bridges and Tunnels,Constr Mgmt,36,Construction Management: Quality Oversight Inspection and Construction Management Services to Enhance Electric Power Resiliency for ORT Tolling Infrastructure at RFK Bridge and Flood Mitigation of Robert Moses Building Electrical & Mechanical Systems,"Provide Quality Oversight Inspection and Construction Management Services for the RK-66 Design-Build project, which will provide secondary feeder with ATS at the  power sources of ORT infrastructures @ RFK Bridge & Relocate Robert Moses Building Boilers and Electric Substation outside the building footprint to a location above Design Flood Level.",DEC,2018,$1M - $5M,,,,,,,,,,,,,,
L11409   [L70401BM],LIRR,Long Island Rail Road,.,16,Wreck Lead Bridge Mechanical Rehabilitation,,JAN,2019,$250K - $500K,,,,,,,,,,,,,,
P36708,NYCT,New York City Transit,Construction,39,New Substation: Canal Street/ 8th Avenue**,,JAN,2019,$10M - $50M,,,,,,,,,,,,,,
E31385,NYCT,New York City Transit,Construction,12,Replace 2 Bus Washers: Queens Village Depot [SBMP Tier2],"This project shall provide all labor, materials, tools and equipment necessary for removing existing washers and installing, testing and putting into operation (2) two bus washers at Queens Village Depot. Work will include:",JUN,2018,$1M - $5M,Provision of bus washers and associated equipment.,Repairing damaged walls and floors.,Painting all exposed surfaces.,Provision of new signage.,Power supply and electrical work as needed.,,,,,,,,,
R34255,NYCT,New York City Transit,Purchase,113,Purchase 20 Locomotives - Option to Purchase Additional 50,This project will purchase 20 diesel-battery hybrid locomotives with an option to purchase up to an additional 50 locomotives.,SEP,2018,OVER $50M,,,,,,,,,,,,,,
E04979 [EL0603ZS],LIRR,Long Island Rail Road,.,24,Long Island City Yard Resiliency **,,MAR,2019,$10M - $50M,,,,,,,,,,,,,,
A36986,NYCT,New York City Transit,Construction,17,"Platform Components: 4 Locations / Queens Boulevard, Archer","This project will replace rubbing board and platform edges on four stations in Queens. Stations include: 46th Street, Steinway Street, 36th Street, and Jamaica Center-Parsons. Work will include:",OCT,2018,$5M - $10M,Installation of rubbing boards and tactile warning strips at NB and SB platforms.,,,,,,,,,,,,,
HC-80/QM-36,B&T,Bridges and Tunnels,Special Services,30,Special Services: Rehabilitation of Ventilation & Service Buildings at the Hugh Carey and Queens Midtown Tunnels,"Under this Design Services contract, the designer will develop a Master Plan for the Hugh L. Carey and Queens Midtown Tunnels Buildings (Ventilation, Service and Emergency Garage), perform a feasibility study, and design the selected recommendations.",SEP,2018,$1M - $5M,,,,,,,,,,,,,,
M09124,MNR,Metro North Railroad,Constr,30,Construction -10th Ave Bridge - Mount Vernon,"This contract will provide for the superstructure replacement and substructure rehabilitation of the closed 10th Avenue bridge over Metro-North Railroad in the City of Mount Vernon.   The construction contract includes the replacement of the existing timber deck vehicular bridge with a new redundant multi-stringer bridge supporting a concrete deck. An existing Con-Edison 345kV line on the bridge will be temporarily supported and reinstalled on the replacement bridge. In addition, a new high pressure gas main and electrical service ducts will also be provided. The top portions of the existing abutments will be modified to accommodate the new superstructure. The bridge approach work will include paving, sidewalks, signal intersection, utility work and architectural upgrades such as decorative planters, benches and sidewalk finishes. The relocation of Metro-North Railroad?s signal side power lines from the existing bridge is included in this contract.",SEP,2018,$10M - $50M,Track level relocation of Metro-North Railroad signal side power lines.,Relocation of utilities.,Temporary support of the existing 345kV oil static pipeline.,"Demolition of the existing superstructure, top of abutments.",Rehabilitation of existing abutments and installation of rock anchors.,Installation of the new bridge superstructure.,,,,,,,,
E34030,NYCT,New York City Transit,Construction,27,Replace 2 Hydraulic Elevators at Borough Hall / Clark Street**,,MAR,2019,$5M - $10M,,,,,,,,,,,,,,
C-40274,MTA BUS,MTA Bus,Constr,18,Depot Rehab: College Point**,"Replace all the roof assemblies and some facility upgrades at the College Point Bus Depot where the existing building and equipment have exceeded their life expectancy. This rehabilitation and facility upgrade project will include the replacement of existing roof, renovation of bathrooms and locker rooms, new dispatcher's booth, replacement of damaged concrete apron at entrance, replacement of methane system, replacement of compressors, tile removal, reinstallation of existing security system at roof areas, and the repair of masonry to provide a complete weathertight system. This project is FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",MAR,2019,$5M - $10M,,,,,,,,,,,,,,
C40273,NYCT,New York City Transit,Construction,17,New Roof at Queens Village Depot,The purpose of this project is the removal of existing roofing systems and replacement with new EPDM system. Work will include:,OCT,2018,$5M - $10M,"The removal of the entire 190,000 sq.ft. existing roofing system down to the concrete deck covering the building.",Installation of the new EPDM roofing system with new tapered insulation.,"Replacement and installation of all associated flashing, curbs, penetration flashing, expansion joints, and roof drains.",,,,,,,,,,,
V-32450,MTA BUS,MTA Bus,Purchase,7,Rubber Tire Vehicles 2015-2019**,"This project is for the purchase of non-revenue, rubber tire vehicles for MTA Bus. This project will be FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",JUN,2018,$1M - $5M,,,,,,,,,,,,,,
ST21-6633,NYCT,New York City Transit,Construction,,Station Painting at Comp Location: Pelham Bay Park/Pelham,,DEC,2018,$1M - $5M,,,,,,,,,,,,,,
VN-86,B&T,Bridges and Tunnels,Special Services,30,Special Services: Design for the Widening of the Belt Parkway Ramps,"Under this Design contract, the consultant will produce a design for improvements at the merge of the Verrazano-Narrows Bridge off bound ramps to the Eastbound Belt Parkway, as well as for the widening of the Belt Parkway in the Eastbound direction from the Verrazano-Narrows Bridge ramps to the Bay Parkway interchange. In addition, the consultant will secure all necessary permitting, studies, and coordination with the various agencies that will need to approve this project.",OCT,2018,$1M - $5M,,,,,,,,,,,,,,
A36623,NYCT,New York City Transit,Construction,13,"Strip/Paint Control House, E180 St. Station (SBMP)",This Small Business Mentoring project will eliminate deficient conditions in  East 180th Station in the Bronx due to peeling paint on the Control House Building. Work will include:,AUG,2018,$1M - $5M,Removal of any loose or peeling paint by scraping the facade.,"Patch, consolidate and cure the facade.",Application of 2 coats of Keim Soldafit paint.,Provision of lead abatement associated with painting work.,,,,,,,,,,
C-40275,MTA BUS,MTA Bus,Constr,12,Storeroom Expansion-LaGuardia Depot**,"This project shall provide all labor, materials, tools and equipment necessary for the Depot reconfigurations and relocation of storerooms at the LaGuardia Bus Depot. The work includes general construction, masonry, and electrical and mechanical work. This project is FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",APR,2019,$5M - $10M,,,,,,,,,,,,,,
M10849,MNR,Metro North Railroad,Constr,17,Construction T35 & Waldorf Elevators,"This contract is to replace two freight elevators - the Waldorf Elevator and the T-35 Elevator ? which have reached the end of their useful lives. The elevators will be replaced to meet current applicable codes and requirements, including the replacement of the controllers, drive units, car enclosures and doors as well as addition of automatic recall and emergency telephone and communications. Also, the T-35 shaft will be extended down to the upper level landing of the Oyster Bar ramp in Grand Central Terminal.",MAY,2019,$5M - $10M,Demolition work.,"Construction of machine rooms, and extension of T-35 elevator shaft.","Mechanical, Elevator, Plumbing (MEP) and structural work.","Installation of new elevator cars, machines, controllers, fire safety and security systems.",,,,,,,,,,
L11024   [L60304TU],LIRR,Long Island Rail Road,.,12.5,Design/Furnish/Delivery of Wired Signal Instrument Huts and Cases for Beaver Interlocking and Johnson Avenue Yard,,DEC,2018,$1M - $5M,,,,,,,,,,,,,,
A36991 / A36998 / A37202,NYCT,New York City Transit,Construction,14,"Platform Edges and Components: White Plains Road, Pelham and Lenox","The purpose of this project will be to eliminate deficient conditions of various components at five locations in Manhattan and the Bronx. Subway stations: Freeman St, Longwood Av, 148th St-Lenox Terminal, and Central Park North (110th St). Work will include:",AUG,2018,$10M - $50M,Removing and repairing the platform edges.,Installation of rubbing boards and tactile warning strips.,Replacing existing rubbing boards with polyethylene rubber boards.,"Repair damaged beams, column bases, and cracks in floor toppings.",,,,,,,,,,
P36474,NYCT,New York City Transit,Construction,24,Rehab CBH # 5 - 53rd Street,"This project will rehabilitate CBH #5 to allow the safe rerouting of train services in case of emergency, normal maintenance, or upgrade work in the right of way, on the Broadway Line in the Borough of Manhattan. Work will include:",AUG,2018,$5M - $10M,Furnishing and installing two new circuit breakers and mounting.,Furnishing and installing new cables and associated supports.,Concrete work.,Communications work.,,,,,,,,,,
C34849,NYCT,New York City Transit,Construction,40,207th Street Maintenance & Overhaul Shop Roof & Component Repair,"This project calls for the replacement of the roofing assembly on the Overhaul and Maintenance Shop at the 207th Street Yard in Manhattan. This project seeks to replace and/or repair all necessary roof elements in order to waterproof the facility. These roof elements include roofing, drainage, skylights, roof access hatches, flashing/fascia, gutters/leaders, exterior wall masonry, windows, and coping. The exhaust fans will also be replaced in this contract to prevent the future need to disturb the roofing system after it has been installed. Work will include:",JUN,2018,$10M - $50M,"Remove existing roofing and provide new membrane, cover board, insulation and flashings.",Install new skylighting system with new aluminum frames and exhaust fans.,Remove and replace windows and louvers.,Repair brick walls.,Concrete work.,,,,,,,,,
C33891,NYCT,New York City Transit,Construction,24,Priority Repairs of Tiffany Central Warehouse Exterior Walls,This project will provide for priority structural repairs to the building walls at the Tiffany Central Warehouse.,JUL,2018,$1M - $5M,,,,,,,,,,,,,,
VN-11,B&T,Bridges and Tunnels,Constr,42,Construction: Brooklyn/Gowanus Approach Reconstruction,"Under this Construction contract, the contractor will perform widening of the Gowanus Expressway from 92nd Street to Fort Hamilton Parkway.",DEC,2018,$10M - $50M,,,,,,,,,,,,,,
C43761,NYCT,New York City Transit,Construction,29,Sandy Mitigation: Consolidated Revenue Facility**,"This project will provide an affective flood mitigation scheme to protect the Consolidated Revenue Facility located in Maspeth Queens. The project consists of a perimeter flood wall to protect against storm surges, as well as improvements of the drainage system to mitigate effects of heavy rain fall. Deployable floods walls will be used at the facility entrances to maintain access and will be deployed when a storm is forecasted to arrive. Work will include:",JUL,2018,$5M - $10M,The construction of a perimeter wall.,The installation of pumps and a drainage system.,The provision of deployable stop logs for all entrances/openings.,,,,,,,,,,,
C40270,NYCT,New York City Transit,Construction,18,Modular Office: East New York Depot [SBFP]**,"This project shall provide for the construction of a 4,100 sq.ft., one-story administrative building at the East New York Bus Depot on the 1st floor, inside the Depot on the Jamaica Avenue side.",OCT,2018,$1M - $5M,,,,,,,,,,,,,,
C48704,NYCT,New York City Transit,Construction,49,LSCRP: The Bronx (BXC),,JAN,2019,$10M - $50M,,,,,,,,,,,,,,
C40257,NYCT,New York City Transit,Construction,11,East New York Depot Windows and Faade,"This project shall provide all labor, materials, tools and equipment necessary for the replacement of all the exterior window units and for the cleaning, repairing, and restoring, the entire brick facade at the East New York Bus Depot. The work includes but is not limited to general construction, electrical work, and masonry. Work will include:",JUL,2018,$5M - $10M,"Replacement of existing exterior louvers and window guards, removal and reinstallation of existing window AC units.","Repair and/or replacement of surrounding damaged masonry, lintels, and window sills, as necessary, to provide a complete weather tight system.",Repair the exterior brick faade at the East New York Bus Depot where some of the materials have deteriorated as a result of age and the local environmental conditions.,,,,,,,,,,,
P36340,NYCT,New York City Transit,Purchase,24,Sandy Resiliency: Deployable Substations**,"The project will purchase four (4) new deployable substations to be used by NYCT in the event of a storm or other emergency that renders one or more regular Traction Power Substations out of service for an extended period of time. Once deployed to the incident site, the unit will fill the gap between working substations, allowing basic train service to be restored until repairs are complete at the damaged location. The project is being initiated to aid NYCT in its recovery from the damage of Superstorm Sandy and to provide it with deployable traction power capabilities to mitigate the operational risk to low lying, flood vulnerable substations.",JUN,2018,$10M - $50M,,,,,,,,,,,,,,
L10350   [L60701AS],LIRR,Long Island Rail Road,.,24,Penn Station Substation Replacement,,DEC,2018,$10M - $50M,,,,,,,,,,,,,,
RK-19/RK-70 Phase 1A,B&T,Bridges and Tunnels,Constr Mgmt,36,Construction Management for Structural Rehabilitation at RFK Bridge,"Provide construction administration and inspection services for RK-19/RK-70 Phase 1A Construction Contract for the structural rehabilitation and associated painting at Queens approach, Queens viaduct, Wards Island Viaduct, Bronx truss span, Bronx approach and Harlem River lift span at the RFK Bridge.",FEB,2019,$5M - $10M,,,,,,,,,,,,,,
M10964/M10433,MNR,Metro North Railroad,Constr,30,Bridge & Retaining Wall NH25 Port Chester NY**,"This contract provides for the replacement of the existing four (4) track steel railroad bridge over Willet Avenue on Metro-North Railroad's New Haven line at Milepost NH 25.74 in Port Chester, West Chester County, New York. The Contractor will rebuild one track at a time using Accelerated Construction Methods. Work will include a full steel superstructure replacement, soil anchors and partial concrete substructure rehabilitation.    This contract will also include the replacement of the existing retaining wall in Port Chester adjacent to 149 South Main Street (NH Milepost 25.3)",OCT,2018,$10M - $50M,"Conduct pre-construction activities for retaining wall including: survey of the existing conditions, providing support for Track 2 and relocate utilities.",Install support of evacvation. Demolish existing steel superstructure on one track.,Demolish existing top half of concrete abutments and wingwalls. Rebuild new concrete abutments and wingwalls.,Install tie backs along face of abutments.,Fabricate and install new steel structure (63 ft.).,"Repeat Tasks 2-5 for remaining three tracks, one track at a time.",Construct new retaining wall.,,,,,,,
C40272,NYCT,New York City Transit,Construction,8,Paving: Manhattanville Depot (Ramps & Keene),"This project will provide for the re-paving of the existing concrete ramps at the Manhattanville Bus Depot. In addition, the scope includes the overhaul of 3 AFC Keene machines.",NOV,2018,$5M - $10M,,,,,,,,,,,,,,
E31685,NYCT,New York City Transit,Construction,18,Sandy Mitigation: 14 Fan Plants**,,JAN,2019,$5M - $10M,,,,,,,,,,,,,,
